table_name,column_name,data_type,is_nullable
aircraft,aircraft_id,text,NO
aircraft,aircraft_name,text,YES
aircraft,model,text,YES
aircraft,registration_no,text,YES
aircraft,status,text,YES
aircraft,next_inspection_date,date,YES
aircraft,memo,text,YES
aircraft,active,boolean,YES
aircraft,created_at,timestamp with time zone,YES
aircraft,updated_at,timestamp with time zone,YES
aircraft_maintenance,maintenance_id,text,NO
aircraft_maintenance,aircraft_id,text,YES
aircraft_maintenance,aircraft_name,text,YES
aircraft_maintenance,registration_no,text,YES
aircraft_maintenance,inspection_date,date,YES
aircraft_maintenance,maintenance_type,text,YES
aircraft_maintenance,status,text,YES
aircraft_maintenance,next_inspection_date,date,YES
aircraft_maintenance,mechanic,text,YES
aircraft_maintenance,cost,numeric,YES
aircraft_maintenance,memo,text,YES
aircraft_maintenance,created_at,timestamp with time zone,YES
aircraft_maintenance,updated_at,timestamp with time zone,YES
bookings,booking_id,text,NO
bookings,booking_date,date,NO
bookings,start_time,time without time zone,NO
bookings,end_time,time without time zone,NO
bookings,booking_type,text,YES
bookings,course_name,text,YES
bookings,user_id,text,YES
bookings,user_name,text,YES
bookings,phone,text,YES
bookings,instructor_id,text,YES
bookings,instructor_name,text,YES
bookings,aircraft_id,text,YES
bookings,aircraft_name,text,YES
bookings,status,text,NO
bookings,payment_status,text,YES
bookings,memo,text,YES
bookings,created_at,timestamp with time zone,YES
bookings,updated_at,timestamp with time zone,YES
bookings,notified_at,timestamp with time zone,YES
bookings,last_notified_status,text,YES
bookings,buffer_end_time,time without time zone,YES
bookings,duration_minutes,integer,YES
bookings,reservation_type,text,YES
bookings,request_date,date,YES
course_catalog,course_id,text,NO
course_catalog,course_type,text,YES
course_catalog,course_name,text,NO
course_catalog,duration_minutes,integer,YES
course_catalog,price,numeric,YES
course_catalog,active,boolean,YES
course_catalog,sort_order,integer,YES
course_catalog,memo,text,YES
course_catalog,created_at,timestamp with time zone,YES
course_catalog,updated_at,timestamp with time zone,YES
daily_flight_report_checks,report_date,date,NO
daily_flight_report_checks,checked_by,text,YES
daily_flight_report_checks,checked_at,timestamp with time zone,YES
daily_flight_report_checks,memo,text,YES
daily_flight_report_checks,created_at,timestamp with time zone,NO
daily_flight_report_checks,updated_at,timestamp with time zone,NO
device_tokens,token_id,uuid,NO
device_tokens,user_id,text,YES
device_tokens,user_name,text,YES
device_tokens,phone,text,YES
device_tokens,fcm_token,text,NO
device_tokens,platform,text,YES
device_tokens,app_version,text,YES
device_tokens,active,boolean,YES
device_tokens,created_at,timestamp with time zone,YES
device_tokens,updated_at,timestamp with time zone,YES
device_tokens,last_seen_at,timestamp with time zone,YES
document_agreements,document_id,text,NO
document_agreements,user_id,text,YES
document_agreements,user_name,text,YES
document_agreements,phone,text,YES
document_agreements,document_type,text,YES
document_agreements,target_type,text,YES
document_agreements,target_id,text,YES
document_agreements,issue_date,date,YES
document_agreements,expire_date,date,YES
document_agreements,status,text,YES
document_agreements,file_url,text,YES
document_agreements,memo,text,YES
document_agreements,created_at,timestamp with time zone,YES
document_agreements,updated_at,timestamp with time zone,YES
experience_consents,consent_id,text,NO
experience_consents,passenger_name,text,NO
experience_consents,birth_date,date,YES
experience_consents,address,text,YES
experience_consents,phone,text,NO
experience_consents,action_cam,boolean,NO
experience_consents,simulator,boolean,NO
experience_consents,photo_print,boolean,NO
experience_consents,marketing_consent,boolean,NO
experience_consents,reservation_source,text,YES
experience_consents,flight_date,date,YES
experience_consents,health_clear,boolean,YES